str_address,int_metry,int_cena,str_url,str_typ
"Cafourkova, Praha 8 - Bohnice",Prodej bytu 3+kk 54 m²,4 900 000 Kč,https://www.sreality.cz//detail/prodej/byt/3+kk/praha-bohnice-cafourkova/4015939420,Prodej bytu 3+kk 54 m²
"Prvního pluku, Praha 8 - Karlín",Prodej bytu 3+kk 70 m²,5 490 000 Kč,https://www.sreality.cz//detail/prodej/byt/3+kk/praha-karlin-prvniho-pluku/1236925532,Prodej bytu 3+kk 70 m²
"Cafourkova, Praha 8 - Bohnice",Prodej bytu 3+kk 54 m²,4 890 000 Kč,https://www.sreality.cz//detail/prodej/byt/3+kk/praha-bohnice-cafourkova/1038966620,Prodej bytu 3+kk 54 m²
"Lodžská, Praha 8 - Bohnice",Prodej bytu 3+kk 58 m²,4 665 000 Kč,https://www.sreality.cz//detail/prodej/byt/3+kk/praha-bohnice-lodzska/3197566044,Prodej bytu 3+kk 58 m²
"Pomořanská, Praha 8 - Troja",Prodej bytu 3+kk 67 m²,5 500 000 Kč,https://www.sreality.cz//detail/prodej/byt/3+kk/praha-troja-pomoranska/3475520604,Prodej bytu 3+kk 67 m²
"Zenklova, Praha 8 - Libeň",Prodej bytu 2+1 46 m²,5 200 000 Kč,https://www.sreality.cz//detail/prodej/byt/2+1/praha-liben-zenklova/1829310300,Prodej bytu 2+1 46 m²
"Katovická, Praha - Bohnice",Prodej bytu 3+kk 72 m²,5 840 000 Kč,https://www.sreality.cz//detail/prodej/byt/3+kk/praha-bohnice-katovicka/1326172,Prodej bytu 3+kk 72 m²
"Havránkova, Praha - Kobylisy",Prodej bytu 3+kk 63 m²,5 590 000 Kč,https://www.sreality.cz//detail/prodej/byt/3+kk/praha-kobylisy-havrankova/171195484,Prodej bytu 3+kk 63 m²
"Osadní, Praha 7 - Holešovice",Prodej bytu 2+1 42 m²,4 520 000 Kč,https://www.sreality.cz//detail/prodej/byt/2+1/praha-holesovice-osadni/504446044,Prodej bytu 2+1 42 m²
"Sokolovská, Praha 8 - Karlín",Prodej bytu 2+1 71 m²,5 990 000 Kč,https://www.sreality.cz//detail/prodej/byt/2+1/praha-karlin-sokolovska/688320092,Prodej bytu 2+1 71 m²
"Kotlaska, Praha 8 - Libeň",Prodej bytu 3+kk 55 m²,5 650 000 Kč,https://www.sreality.cz//detail/prodej/byt/3+kk/praha-liben-kotlaska/2236415068,Prodej bytu 3+kk 55 m²
"Veverkova, Praha 7 - Holešovice",Prodej bytu 2+1 46 m²,4 990 000 Kč,https://www.sreality.cz//detail/prodej/byt/2+1/praha-holesovice-veverkova/3050102620,Prodej bytu 2+1 46 m²
"Poznaňská, Praha 8 - Bohnice",Prodej bytu 3+kk 63 m²,4 590 000 Kč,https://www.sreality.cz//detail/prodej/byt/3+kk/praha-bohnice-poznanska/2848513116,Prodej bytu 3+kk 63 m²
"U Sluncové, Praha 8 - Karlín",Prodej bytu 3+kk 76 m²,5 950 000 Kč,https://www.sreality.cz//detail/prodej/byt/3+kk/praha-karlin-u-sluncove/3211852892,Prodej bytu 3+kk 76 m²
"Zenklova, Praha 8 - Libeň",Prodej bytu 3+kk 76 m²,5 500 000 Kč,https://www.sreality.cz//detail/prodej/byt/3+kk/praha-liben-zenklova/719162460,Prodej bytu 3+kk 76 m²
"Chlumčanského, Praha 8 - Libeň",Prodej bytu 2+1 56 m²,5 300 000 Kč,https://www.sreality.cz//detail/prodej/byt/2+1/praha-liben-chlumcanskeho/3756170332,Prodej bytu 2+1 56 m²
"Hlivická, Praha 8 - Bohnice",Prodej bytu 3+kk 72 m²,4 990 000 Kč,https://www.sreality.cz//detail/prodej/byt/3+kk/praha-bohnice-hlivicka/1766088540,Prodej bytu 3+kk 72 m²
"Molákova, Praha - Karlín",Prodej bytu 3+kk 58 m²,5 500 000 Kč,https://www.sreality.cz//detail/prodej/byt/3+kk/praha-karlin-molakova/551841628,Prodej bytu 3+kk 58 m²
"Bubenská, Praha 7 - Holešovice",Prodej bytu 2+1 63 m²,5 200 000 Kč,https://www.sreality.cz//detail/prodej/byt/2+1/praha-holesovice-bubenska/3849535324,Prodej bytu 2+1 63 m²
"Dělnická, Praha 7 - Holešovice",Prodej bytu 2+1 38 m²,5 800 000 Kč,https://www.sreality.cz//detail/prodej/byt/2+1/praha-holesovice-delnicka/2615914332,Prodej bytu 2+1 38 m²
